customerid,age,salary,balance,marital,education,job,targeted,default,housing,loan,contact,day,month,duration,campaign,response
1,58,100000,2143,married,tertiary,management,yes,no,yes,no,unknown,5,5,4.35,1,no
2,44,60000,29,single,secondary,technician,yes,no,yes,no,unknown,5,5,2.52,1,no
3,33,120000,2,married,secondary,entrepreneur,yes,no,yes,yes,unknown,5,5,1.27,1,no
4,47,20000,1506,married,unknown,blue-collar,no,no,yes,no,unknown,5,5,1.53,1,no
5,33,0,1,single,unknown,unknown,no,no,no,no,unknown,5,5,3.3,1,no
6,35,100000,231,married,tertiary,management,yes,no,yes,no,unknown,5,5,2.32,1,no
7,28,100000,447,single,tertiary,management,no,no,yes,yes,unknown,5,5,3.62,1,no
8,42,120000,2,divorced,tertiary,entrepreneur,no,yes,yes,no,unknown,5,5,6.33,1,no
9,58,55000,121,married,primary,retired,yes,no,yes,no,unknown,5,5,0.83,1,no
10,43,60000,593,single,secondary,technician,yes,no,yes,no,unknown,5,5,0.92,1,no
11,41,50000,270,divorced,secondary,admin.,yes,no,yes,no,unknown,5,5,3.7,1,no
12,29,50000,390,single,secondary,admin.,yes,no,yes,no,unknown,5,5,2.28,1,no
13,53,60000,6,married,secondary,technician,yes,no,yes,no,unknown,5,5,8.62,1,no
14,58,60000,71,married,unknown,technician,no,no,yes,no,unknown,5,5,1.18,1,no
15,57,70000,162,married,secondary,services,yes,no,yes,no,unknown,5,5,2.9,1,no
16,51,55000,229,married,primary,retired,yes,no,yes,no,unknown,5,5,5.88,1,no
17,45,50000,13,single,unknown,admin.,no,no,yes,no,unknown,5,5,1.63,1,no
18,57,20000,52,married,primary,blue-collar,yes,no,yes,no,unknown,5,5,0.63,1,no
19,60,55000,60,married,primary,retired,yes,no,yes,no,unknown,5,5,3.65,1,no
20,33,70000,0,married,secondary,services,yes,no,yes,no,unknown,5,5,0.9,1,no
21,28,20000,723,married,secondary,blue-collar,yes,no,yes,yes,unknown,5,5,4.37,1,no
22,56,100000,779,married,tertiary,management,yes,no,yes,no,unknown,5,5,2.73,1,no
23,32,20000,23,single,primary,blue-collar,yes,no,yes,yes,unknown,5,5,2.67,1,no
24,25,70000,50,married,secondary,services,yes,no,yes,no,unknown,5,5,5.7,1,no
25,40,55000,0,married,primary,retired,yes,no,yes,yes,unknown,5,5,3.02,1,no
26,44,50000,-372,married,secondary,admin.,yes,no,yes,no,unknown,5,5,2.87,1,no
27,39,100000,255,single,tertiary,management,no,no,yes,no,unknown,5,5,4.93,1,no
28,52,120000,113,married,secondary,entrepreneur,yes,no,yes,yes,unknown,5,5,2.12,1,no
29,46,100000,-246,single,secondary,management,yes,no,yes,no,unknown,5,5,4.25,2,no
30,36,60000,265,single,secondary,technician,yes,no,yes,yes,unknown,5,5,5.8,1,no
31,57,60000,839,married,secondary,technician,yes,no,no,yes,unknown,5,5,3.75,1,no
32,49,100000,378,married,tertiary,management,yes,no,yes,no,unknown,5,5,3.83,1,no
33,60,50000,39,married,secondary,admin.,yes,no,yes,yes,unknown,5,5,3.47,1,no
34,59,20000,0,married,secondary,blue-collar,yes,no,yes,no,unknown,5,5,3.77,1,no
35,51,100000,10635,married,tertiary,management,yes,no,yes,no,unknown,5,5,5.6,1,no
36,57,60000,63,divorced,secondary,technician,yes,no,yes,no,unknown,5,5,4.03,1,no
37,25,20000,-7,married,secondary,blue-collar,yes,no,yes,no,unknown,5,5,6.08,1,no
38,53,60000,-3,married,secondary,technician,yes,no,no,no,unknown,5,5,27.77,1,no
39,36,50000,506,divorced,secondary,admin.,yes,no,yes,no,unknown,5,5,9.62,1,no
40,37,50000,0,single,secondary,admin.,yes,no,yes,no,unknown,5,5,2.28,1,no
41,44,70000,2586,divorced,secondary,services,yes,no,yes,no,unknown,5,5,2.67,1,no
42,50,100000,49,married,secondary,management,yes,no,yes,no,unknown,5,5,3,2,no
43,60,20000,104,married,unknown,blue-collar,no,no,yes,no,unknown,5,5,0.37,1,no
44,54,55000,529,married,secondary,retired,yes,no,yes,no,unknown,5,5,24.87,1,no
45,58,55000,96,married,unknown,retired,no,no,yes,no,unknown,5,5,10.27,1,no
46,36,50000,-171,single,primary,admin.,yes,no,yes,no,unknown,5,5,4.03,1,no
47,58,60000,-364,married,tertiary,self-employed,yes,no,yes,no,unknown,5,5,5.92,1,no
48,44,60000,0,married,secondary,technician,yes,no,yes,no,unknown,5,5,3.75,2,no
49,55,60000,0,divorced,secondary,technician,yes,no,no,no,unknown,5,5,2.67,1,no
50,29,100000,0,single,tertiary,management,no,no,yes,no,unknown,5,5,6.05,1,no
51,54,20000,1291,married,secondary,blue-collar,yes,no,yes,no,unknown,5,5,4.43,1,no
52,48,100000,-244,divorced,tertiary,management,no,no,yes,no,unknown,5,5,4.22,1,no
53,32,100000,0,married,tertiary,management,yes,no,yes,no,unknown,5,5,2.98,1,no
54,42,50000,-76,single,secondary,admin.,yes,no,yes,no,unknown,5,5,13.12,1,no
55,24,60000,-103,single,secondary,technician,yes,no,yes,yes,unknown,5,5,2.42,1,no
56,38,120000,243,single,tertiary,entrepreneur,no,no,no,yes,unknown,5,5,2.9,1,no
57,38,100000,424,single,tertiary,management,no,no,yes,no,unknown,5,5,1.73,1,no
58,47,20000,306,married,unknown,blue-collar,no,no,yes,no,unknown,5,5,0.22,1,no
59,40,20000,24,single,unknown,blue-collar,no,no,yes,no,unknown,5,5,3.08,1,no
60,46,70000,179,married,primary,services,yes,no,yes,no,unknown,5,5,29.63,1,no
61,32,50000,0,married,tertiary,admin.,yes,no,yes,no,unknown,5,5,2.3,1,no
62,53,60000,989,divorced,secondary,technician,yes,no,yes,no,unknown,5,5,13.53,1,no
63,57,20000,249,married,primary,blue-collar,yes,no,yes,no,unknown,5,5,2.73,1,no
64,33,70000,790,married,secondary,services,yes,no,yes,no,unknown,5,5,6.52,1,no
65,49,20000,154,married,unknown,blue-collar,no,no,yes,no,unknown,5,5,5.95,1,no
66,51,100000,6530,married,tertiary,management,yes,no,yes,no,unknown,5,5,1.52,1,no
67,60,55000,100,married,tertiary,retired,yes,no,no,no,unknown,5,5,8.8,1,no
68,59,100000,59,divorced,tertiary,management,no,no,yes,no,unknown,5,5,4.55,1,no
69,55,60000,1205,married,secondary,technician,yes,no,yes,no,unknown,5,5,2.63,2,no
70,35,20000,12223,single,secondary,blue-collar,yes,no,yes,yes,unknown,5,5,2.95,1,no
71,57,20000,5935,married,secondary,blue-collar,yes,no,yes,yes,unknown,5,5,4.3,1,no
72,31,70000,25,married,secondary,services,yes,no,yes,yes,unknown,5,5,2.87,1,no
73,54,100000,282,married,secondary,management,yes,no,yes,yes,unknown,5,5,2.57,1,no
74,55,20000,23,married,primary,blue-collar,yes,no,yes,no,unknown,5,5,4.85,1,no
75,43,60000,1937,married,secondary,technician,yes,no,yes,no,unknown,5,5,3.02,1,no
76,53,60000,384,married,secondary,technician,yes,no,yes,no,unknown,5,5,2.93,1,no
77,44,20000,582,married,secondary,blue-collar,yes,no,no,yes,unknown,5,5,3.52,1,no
78,55,70000,91,divorced,secondary,services,yes,no,no,no,unknown,5,5,5.82,1,no
79,49,70000,0,divorced,secondary,services,yes,no,yes,yes,unknown,5,5,4.53,1,no
80,55,70000,1,divorced,secondary,services,yes,yes,yes,no,unknown,5,5,3.47,1,no
81,45,50000,206,single,secondary,admin.,yes,no,yes,no,unknown,5,5,3.22,1,no
82,47,70000,164,divorced,secondary,services,yes,no,no,no,unknown,5,5,3.53,1,no
83,42,60000,690,single,secondary,technician,yes,no,yes,no,unknown,5,5,0.33,1,no
84,59,50000,2343,married,secondary,admin.,yes,no,yes,no,unknown,5,5,17.37,1,yes
85,46,60000,137,married,tertiary,self-employed,yes,no,yes,yes,unknown,5,5,4.1,1,no
86,51,20000,173,married,primary,blue-collar,yes,no,yes,no,unknown,5,5,8.82,2,no
87,56,50000,45,married,secondary,admin.,yes,no,no,no,unknown,5,5,24.45,1,yes
88,41,60000,1270,married,secondary,technician,yes,no,yes,no,unknown,5,5,23.15,1,yes
89,46,100000,16,divorced,secondary,management,yes,no,yes,yes,unknown,5,5,3.13,2,no
90,57,55000,486,married,secondary,retired,yes,no,yes,no,unknown,5,5,3,2,no
91,42,100000,50,single,secondary,management,yes,no,no,no,unknown,5,5,0.8,1,no
92,30,60000,152,married,secondary,technician,yes,no,yes,yes,unknown,5,5,3.55,2,no
93,60,50000,290,married,secondary,admin.,yes,no,yes,no,unknown,5,5,9.72,1,no
94,60,20000,54,married,unknown,blue-collar,no,no,yes,no,unknown,5,5,3.68,1,no
95,57,120000,-37,divorced,secondary,entrepreneur,yes,no,no,no,unknown,5,5,2.88,1,no
96,36,100000,101,married,tertiary,management,yes,no,yes,yes,unknown,5,5,7.1,1,no
97,55,20000,383,married,secondary,blue-collar,yes,no,no,no,unknown,5,5,4.78,1,no
98,60,55000,81,married,tertiary,retired,yes,no,yes,no,unknown,5,5,1.68,1,no
99,39,60000,0,married,secondary,technician,yes,no,yes,no,unknown,5,5,3.38,1,no
100,46,100000,229,married,tertiary,management,yes,no,yes,no,unknown,5,5,3.28,1,no
101,44,20000,-674,married,secondary,blue-collar,yes,no,yes,no,unknown,5,5,4.28,1,no
102,53,20000,90,married,primary,blue-collar,yes,no,no,no,unknown,5,5,2.07,1,no
103,52,20000,128,married,primary,blue-collar,yes,no,yes,no,unknown,5,5,3.82,1,no
104,59,20000,179,married,primary,blue-collar,yes,no,yes,no,unknown,5,5,0.92,3,no
105,27,60000,0,single,tertiary,technician,no,no,yes,no,unknown,5,5,6.67,1,no
106,44,20000,54,married,secondary,blue-collar,yes,no,yes,no,unknown,5,5,3.28,1,no
107,47,60000,151,married,tertiary,technician,yes,no,yes,no,unknown,5,5,3.17,1,no
108,34,50000,61,married,secondary,admin.,yes,no,no,yes,unknown,5,5,0.35,1,no
109,59,55000,30,single,secondary,retired,yes,no,yes,no,unknown,5,5,8.57,1,no
110,45,100000,523,married,tertiary,management,yes,no,yes,no,unknown,5,5,14.15,2,no
111,29,70000,31,divorced,secondary,services,yes,no,yes,no,unknown,5,5,3.23,1,no
112,46,60000,79,divorced,secondary,technician,yes,no,no,no,unknown,5,5,2.4,1,no
113,56,60000,-34,married,primary,self-employed,yes,no,yes,yes,unknown,5,5,3.53,2,no
114,36,20000,448,married,primary,blue-collar,yes,no,yes,no,unknown,5,5,4.77,1,no
115,59,55000,81,divorced,primary,retired,yes,no,yes,no,unknown,5,5,1.78,1,no
116,44,20000,144,married,secondary,blue-collar,yes,no,yes,no,unknown,5,5,4.12,2,no
117,41,50000,351,married,secondary,admin.,yes,no,yes,no,unknown,5,5,8.63,1,no
118,33,100000,-67,single,tertiary,management,no,no,yes,no,unknown,5,5,6.07,1,no
119,59,100000,262,divorced,tertiary,management,no,no,no,no,unknown,5,5,2.97,1,no
120,57,60000,0,married,primary,technician,yes,no,no,no,unknown,5,5,1.63,1,no
121,56,60000,56,divorced,unknown,technician,no,no,yes,no,unknown,5,5,7.32,1,no
